ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,HELPER_LOCK_COUNT,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_TARGET_CODE,HELPER_APPLIED_CODE,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,MAIN_PRODUCER_VALID,MAIN_UPDATE_ID,MAIN_UPDATE_ADVANCED,MAIN_BRANCH_ID,WR_CORE_VALID,PHY_LINK_USABLE,PSTAT_LOCKED,TERMINAL,SERVICE_READ,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789548106411,1789548109021,2611,2610,1,1,209,1,0,0,1,0,5,5,0,0,1,0,,0,,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],2,1789548109214,1789548111877,5467,2663,2,1,2079,1,0,15,1,1,65531,30341,476,474,1,0,,0,,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789548111977,1789548114593,8183,2616,1,1,12377,1,0,15,1,1,65531,65541,1024,1024,1,0,,0,,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],4,1789548114789,1789548116243,9833,1454,1,1,23039,1,0,15,1,1,64059,64069,1111,1111,1,1,7,0,1,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789548116344,1789548117051,10641,707,1,1,29140,1,1,1000,0,,,,1302,,,1,7,0,1,1,1,0,0,0,NONE
