source,sample_count,measurement_valid_samples,frame_valid_samples,coherent_measurement_samples,position_valid_samples,helper_error_mean,helper_error_rms,helper_error_max_abs,fraction_abs_error_le_200,fraction_outside_actual_helper_threshold,locked_bit_transitions,lock_count_increases,lock_count_decreases,duplicate_epochs,generation_changes,max_continuous_full_chain_ms,full_chain_freshness_unknown,strict_step5_pass
docs\experiments\exp-step5-softpll-lock\EXP-S5-F1A2-HELPER-PI-KP2250-KI2-20260914\raw\observer-smoke-120.log,120,120,115,120,110,-71.68333333333334,900.5371637713423,2455.0,0.4,0.058333333333333334,12,12,2,0,0,0,True,False
docs\experiments\exp-step5-softpll-lock\EXP-S5-F1A2-HELPER-PI-KP2250-KI2-20260914\raw\observer-long-6000.log,6000,6000,5903,6000,5184,-5.253166666666667,923.0162749558283,5483.0,0.361,0.04816666666666667,513,468,30,0,0,0,True,False
