board,profile,cycle,retry_n,host_start_ms,host_end_ms,duration_ms,raw_epoch_before,raw_tag_delta,raw_expected_delta,raw_freq_error,raw_preclamp_error,raw_helper_error,raw_update_count,raw_helper_output,raw_dmtd_ref_accept_count,raw_dmtd_fb_accept_count,raw_epoch_after,epoch_before,epoch_after,update_count,helper_error,helper_output,transport_error,parse_error,odd_or_sentinel,epoch_changed,arithmetic_mismatch,range_mismatch,accepted,owner_unverified,reason,shape_valid
DE5 [1-11.2],FULL,3,7,1789462704990,1789462704991,1,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,3,8,1789462704992,1789462704992,0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,1,1789462706009,1789462706009,0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,2,1789462706010,1789462706011,1,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,3,1789462706012,1789462706012,0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,4,1789462706013,1789462706014,1,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,5,1789462706015,1789462706015,0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,6,1789462706017,1789462706017,0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,7,1789462706018,1789462706019,1,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
DE5 [1-11.2],FULL,5,8,1789462706020,1789462706020,0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1,-1,-1,,,1,1,0,0,0,0,0,1,"TRANSPORT_ERROR,PARSE_ERROR",1
