ROLE,BOARD,SAMPLE,ELAPSED_MS,HOST_START_MS,HOST_END_MS,DURATION_MS,VALID,TRANSPORT_ERROR,PARSE_ERROR,STATUS_RAW,PSTAT_RAW,WR_STATE_RAW,SPLL_STATE_RAW,WR_FAILURE_RAW,LOCK_RESULT_RAW,PTP_META_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,MAIN_EPOCH_RAW,MAIN_UPDATE_RAW,MAIN_DETECTOR_RAW,MAIN_STATE_RAW,POSITION_RAW,ACCOUNTING_RAW,L2_STATUS_RAW,L2_PENDING_RAW,L2_COMPLETED_RAW,RESET_FIELDS_VALID,RESET_CHANGED,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,WR_FAILURE_REASON,WR_DISABLE_VALID,TERMINAL,STOP_REASON,READ_ERROR
SLAVE,DE5 [1-11.2],1,14,1789462703970,1789462704224,254,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,000001DC,7098,6403205,3,02F30642D3C5D3AC,2A110D3C2A110935,64A8BB5D845E000D,00000D3C00001989,00001671000013A1,1,0,1,1,0,0,0,0,0,NONE,00001671000013A1
MASTER,DE5 [1-11.1],1,269,1789462704225,1789462704451,226,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,000004F0,0,0,0,TIMEOUT,TIMEOUT,FC3C665AE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
