BOARD,CYCLE,PROBE,COUNTER_GROUP,HOST_START_MS,HOST_END_MS,RAW_PACKED,MAIN_RAW,HELPER_RAW,MAIN_VALUE,HELPER_VALUE,VALID,COUNTER_WIDTH_BITS,SOURCE_SEMANTICS,READ_ATOMICITY,DELTA_POLICY
DE5 [1-11.2],61,54,START,1789467957799,1789467957799,000033B60000E8BA,0000E8BA,000033B6,59578,13238,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],61,55,COMPLETED,1789467957799,1789467957800,000033B60000E8B9,0000E8B9,000033B6,59577,13238,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],61,56,FAILED,1789467957800,1789467957800,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],62,54,START,1789467959105,1789467959105,000034210000EC6C,0000EC6C,3421,60524,13345,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],62,55,COMPLETED,1789467959105,1789467959106,000034210000EC6C,0000EC6C,3421,60524,13345,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],62,56,FAILED,1789467959106,1789467959106,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],63,54,START,1789467960376,1789467960376,0000346A0000F025,0000F025,0000346A,61477,13418,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],63,55,COMPLETED,1789467960376,1789467960377,0000346A0000F024,0000F024,0000346A,61476,13418,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],63,56,FAILED,1789467960377,1789467960377,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],64,54,START,1789467961671,1789467961671,0000352D0000F364,0000F364,0000352D,62308,13613,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],64,55,COMPLETED,1789467961671,1789467961671,0000352D0000F363,0000F363,0000352D,62307,13613,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],64,56,FAILED,1789467961671,1789467961671,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],65,54,START,1789467962955,1789467962956,000035860000F716,0000F716,3586,63254,13702,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],65,55,COMPLETED,1789467962956,1789467962956,000035860000F716,0000F716,3586,63254,13702,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],65,56,FAILED,1789467962956,1789467962956,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],66,54,START,1789467964283,1789467964283,000036330000FA9A,0000FA9A,3633,64154,13875,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],66,55,COMPLETED,1789467964283,1789467964283,000036330000FA99,0000FA99,3633,64153,13875,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
