ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,WR_CORE_VALID,DIRECT_VALID,TRANSPORT_FAILURE,ROLE_IDENTITY_VALID,STATUS_RAW,SSTAT_RAW,PTP_META_RAW,WR_FAILURE_RAW,WR_STATE_RAW,PSTAT_RAW,LOCK_RESULT_RAW,SPLL_STATE_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY,CPU_RESET_N,PHY_LINK_USABLE,PTP_STATE,PD_STATE,EXT_STATE,WRC_MODE,CURRENT_WR_STATE,WR_NEXT_STATE,PSTAT_LOCKED,SPLL_DELOCK_COUNT,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,RESET_FIELDS_VALID,RESET_CHANGED,TERMINAL,TERMINAL_STREAK,WR_FAILURE_REASON,WR_DISABLE_VALID,STOP_REASON
MASTER,DE5 [1-11.1],8,1789467906684,1789467906776,92,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],23,1789467907984,1789467908076,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],24,1789467909239,1789467909331,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],9,1789467910013,1789467910106,93,1,1,0,1,0,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,0,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],25,1789467910778,1789467910868,90,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],26,1789467912047,1789467912137,90,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],27,1789467913360,1789467913451,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],10,1789467913639,1789467913729,90,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],28,1789467914672,1789467914762,90,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],29,1789467915982,1789467916074,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
