ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,HELPER_LOCK_COUNT,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_TARGET_CODE,HELPER_APPLIED_CODE,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,MAIN_PRODUCER_VALID,MAIN_UPDATE_ID,MAIN_UPDATE_ADVANCED,MAIN_BRANCH_ID,WR_CORE_VALID,PHY_LINK_USABLE,PSTAT_LOCKED,TERMINAL,SERVICE_READ,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789546759698,1789546762302,2605,2604,1,1,209,1,0,0,1,0,5,5,0,0,1,0,,0,,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],2,1789546762498,1789546765152,5455,2654,2,1,7045,1,0,16,1,1,65531,65541,1024,1024,1,0,,0,,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789546765253,1789546767851,8154,2598,1,1,17325,1,0,16,1,1,65531,65541,1024,1024,1,0,,0,,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],4,1789546768045,1789546768723,9026,678,1,1,27995,1,1,1000,1,1,58946,58949,1273,1273,1,1,170,0,1,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789546768823,1789546769948,10251,1125,2,1,31046,1,1,1000,1,1,58932,58885,1357,1356,1,1,7285,1,1,1,1,0,0,0,NONE
