ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,HELPER_LOCK_COUNT,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_TARGET_CODE,HELPER_APPLIED_CODE,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,MAIN_PRODUCER_VALID,MAIN_UPDATE_ID,MAIN_UPDATE_ADVANCED,MAIN_BRANCH_ID,WR_CORE_VALID,PHY_LINK_USABLE,PSTAT_LOCKED,TERMINAL,SERVICE_READ,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789542252377,1789542255054,2678,2677,2,1,5413,1,0,16,1,1,65531,65541,1024,1024,1,0,,0,,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],2,1789542255256,1789542257844,5468,2588,1,1,16071,1,0,16,1,1,65531,65541,1024,1024,1,1,52,0,1,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789542257944,1789542258636,6260,692,1,1,26360,1,1,1000,1,1,58033,58053,1337,1337,1,1,52,0,1,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],4,1789542258833,1789542259520,7144,687,1,1,29794,1,1,1000,1,1,58142,58117,1382,1382,1,1,7166,1,1,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789542259620,1789542260310,7934,690,1,1,32845,1,1,1000,1,1,58150,58117,1441,1440,1,1,7166,0,1,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],6,1789542260410,1789542261502,9126,1092,1,1,35897,1,1,1000,1,1,58089,58117,1580,1580,1,1,14341,1,1,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789542261602,1789542262288,9912,686,1,1,40474,1,1,1000,1,1,57979,57989,1742,1742,1,1,14341,0,1,1,1,0,0,1,NONE
