ROLE,BOARD,CYCLE,PROFILE,PROFILE_ATTEMPTS,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,ELAPSED_MS,ACCEPTED,FRESH,STALE,AMBIGUOUS,PRODUCER_STATUS,UPDATE_COUNT,EPOCH_BEFORE,EPOCH_AFTER,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,ARITHMETIC_MISMATCH,RANGE_MISMATCH,REASON,STOP_REASON
SLAVE,DE5 [1-11.2],1,FULL,8,1789462703956,1789462703969,13,13,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,-1,-1,-1,1,1,0,0,0,0,"TRANSPORT_ERROR,PARSE_ERROR",NONE
SLAVE,DE5 [1-11.2],2,CORE,8,1789462704470,1789462704480,10,524,0,0,0,0,NOT_COHERENT,-1,-1,-1,1,1,0,0,0,0,"TRANSPORT_ERROR,PARSE_ERROR",NONE
SLAVE,DE5 [1-11.2],3,FULL,8,1789462704981,1789462704994,13,1038,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,-1,-1,-1,1,1,0,0,0,0,"TRANSPORT_ERROR,PARSE_ERROR",NONE
SLAVE,DE5 [1-11.2],4,CORE,8,1789462705495,1789462705507,12,1551,0,0,0,0,NOT_COHERENT,-1,-1,-1,1,1,0,0,0,0,"TRANSPORT_ERROR,PARSE_ERROR",NONE
SLAVE,DE5 [1-11.2],5,FULL,8,1789462706009,1789462706021,12,2065,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,-1,-1,-1,1,1,0,0,0,0,"TRANSPORT_ERROR,PARSE_ERROR",NONE
SLAVE,DE5 [1-11.2],6,CORE,8,1789462706521,1789462706533,12,2577,0,0,0,0,NOT_COHERENT,-1,-1,-1,1,1,0,0,0,0,"TRANSPORT_ERROR,PARSE_ERROR",TRANSPORT_FAILURE
