ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,HELPER_LOCK_COUNT,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_TARGET_CODE,HELPER_APPLIED_CODE,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,MAIN_PRODUCER_VALID,MAIN_UPDATE_ID,MAIN_UPDATE_ADVANCED,MAIN_BRANCH_ID,WR_CORE_VALID,PHY_LINK_USABLE,PSTAT_LOCKED,TERMINAL,SERVICE_READ,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789545182287,1789545183366,1080,1079,1,1,730243,1,1,1000,1,1,61242,61253,18355,18355,1,1,708169,0,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],2,1789545183560,1789545184295,2009,735,2,1,735202,1,1,1000,1,1,60891,60869,18483,18483,1,1,708169,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789545184395,1789545185091,2805,696,1,1,738254,1,1,1000,1,1,61148,61125,18567,18567,1,1,715396,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],4,1789545185191,1789545185896,3610,705,1,1,741305,1,1,1000,1,1,61174,61189,18626,18626,1,1,715396,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789545185997,1789545187082,4796,1085,1,1,744357,1,1,1000,1,1,60981,60997,18699,18699,1,1,722623,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],6,1789545187276,1789545188031,5745,755,2,1,749316,1,1,1000,0,,,,18788,,,1,722623,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789545188132,1789545188800,6514,668,1,1,752367,1,1,1000,1,1,61168,61189,18854,18854,1,1,729849,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],8,1789545188901,1789545189618,7332,717,1,1,755419,1,1,1000,0,,,,18942,,,1,729849,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],9,1789545189718,1789545190834,8548,1116,1,1,758470,1,1,1000,1,1,61079,61061,19048,19048,1,1,737075,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],10,1789545191040,1789545191811,9525,771,2,1,763811,1,1,1000,0,,,,19238,,,1,737075,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],11,1789545191912,1789545192620,10334,708,1,1,766862,1,1,1000,1,0,61061,61061,19298,19298,1,1,744302,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],12,1789545192720,1789545193436,11150,716,1,1,769914,1,1,1000,0,,,,19335,,,1,744302,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],13,1789545193537,1789545194695,12409,1158,2,1,773347,1,1,1000,1,1,61145,61125,19397,19397,1,1,751529,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],14,1789545194903,1789545195603,13317,700,1,1,778306,1,1,1000,0,,,,19541,,,1,751529,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],15,1789545195704,1789545196398,14112,694,1,1,781357,1,1,1000,1,1,61163,61189,19626,19624,1,1,758755,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],16,1789545196499,1789545197203,14917,704,1,1,784409,1,1,1000,1,1,61188,61189,19688,19688,1,1,758755,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],17,1789545197303,1789545198389,16103,1086,1,1,787460,1,1,1000,1,1,61114,61125,19765,19765,1,1,765981,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],18,1789545198593,1789545199294,17008,701,1,1,792419,1,1,1000,1,1,61291,61317,19942,19942,1,1,765981,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],19,1789545199394,1789545200467,18181,1073,1,1,795471,1,1,1000,1,1,61419,61445,20043,20042,1,1,773208,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],20,1789545200567,1789545201331,19045,764,2,1,800048,1,1,1000,0,,,,20141,,,1,773208,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],21,1789545201432,1789545202143,19857,711,1,1,803100,1,1,1000,0,,,,20156,,,1,780435,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],22,1789545202346,1789545203077,20791,731,2,1,806915,1,1,1000,1,1,61353,61317,20277,20276,1,1,780435,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],23,1789545203177,1789545204310,22024,1133,2,1,809966,1,1,1000,1,1,61282,61253,20389,20389,1,1,787662,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],24,1789545204411,1789545205109,22823,698,1,1,814543,1,1,1000,1,1,61276,61253,20471,20471,1,1,787662,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],25,1789545205209,1789545205901,23615,692,1,1,817595,1,1,1000,1,1,61390,61381,20535,20535,1,1,794889,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],26,1789545206100,1789545206793,24507,693,1,1,821028,1,1,1000,1,1,61480,61509,20605,20605,1,1,794889,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],27,1789545206894,1789545207967,25681,1073,1,1,824080,1,1,1000,1,1,61341,61317,20718,20718,1,1,802115,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],28,1789545208068,1789545208815,26529,747,2,1,828657,1,1,1000,1,1,61647,61637,20845,20845,1,1,802115,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],29,1789545208915,1789545210012,27726,1097,1,1,831709,1,1,1000,0,,,,20955,,,1,809342,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],30,1789545210211,1789545210910,28624,699,1,1,836667,1,1,1000,0,,,,21082,,,1,809342,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],31,1789545211012,1789545211708,29422,696,1,1,839719,1,1,1000,1,0,61573,61573,21156,21156,1,1,816569,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],32,1789545211808,1789545212507,30221,699,1,1,842771,1,1,1000,1,1,61628,61637,21219,21219,1,1,816569,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],33,1789545212607,1789545213682,31396,1075,1,1,845822,1,1,1000,1,1,61393,61381,21297,21297,1,1,823796,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],34,1789545213874,1789545214612,32326,738,2,1,850781,1,1,1000,1,1,61294,61317,21428,21428,1,1,823796,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],35,1789545214713,1789545215396,33110,683,1,1,853833,1,1,1000,1,1,61544,61573,21474,21474,1,1,831023,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],36,1789545215496,1789545216220,33934,724,1,1,856884,1,1,1000,0,,,,21542,,,1,831023,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],37,1789545216321,1789545217401,35115,1080,1,1,859936,1,1,1000,1,1,61365,61381,21579,21579,1,1,838249,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],38,1789545217597,1789545218290,36004,693,1,1,864895,1,1,1000,1,1,61344,61317,21750,21750,1,1,838249,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],39,1789545218391,1789545219480,37194,1089,1,1,867946,1,1,1000,1,1,61405,61445,21823,21822,1,1,845476,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],40,1789545219580,1789545220295,38009,715,1,1,872524,1,1,1000,0,,,,21953,,,1,845476,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],41,1789545220395,1789545221129,38843,734,1,1,875575,1,1,1000,0,,,,22061,,,1,852702,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],42,1789545221324,1789545221999,39713,675,1,1,879008,1,1,1000,1,1,61288,61317,22146,22146,1,1,852702,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],43,1789545222101,1789545223193,40907,1092,1,1,882060,1,1,1000,0,,,,22221,,,1,859930,1,2,1,1,0,1,0,WR_SESSION_ENDED
