role,board,samples,elapsed_ms,bank_schema,readiness,reason,control_writes
Master,"DE5 [1-11.1]",127,30198,SPLL_REINIT_OR_OVERLAY_CANDIDATE,UNKNOWN,BANK_SCHEMA_UNPROVEN,0
Slave,"DE5 [1-11.2]",127,30197,SLOCK_TRACE,UNKNOWN,BANK_SCHEMA_UNPROVEN,0
