role,sample_count,entry_seen,entry_sample,entry_elapsed_ms,acquisition_allowed_samples,main_core_valid_samples,valid_acquisition_samples,phase_observation_samples,fresh_main_producer_samples,main_progress_samples,phase_domain_samples,phase_inband_samples,phase_locked_samples,phase_pi_min,phase_pi_max,service_window_count,residual_window_count,main_service_stalled_window_count,helper_service_stalled_window_count,reset_changes,transport_invalid_samples,transport_invalid_max_streak,phase_convergence_observed,stop_reason,diagnostic_result,diagnostic_pass,step5_complete,step5_pass
SLAVE,39,True,1,0,37,36,36,30,35,35,30,3,0,-7123,7641,0,0,0,0,"{'generation_changes': 0, 'reset_changes': 0}",1,1,False,NONE,PHASE_CONVERGENCE_NOT_REACHED,True,False,False
MASTER,20,False,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"{'generation_changes': 0, 'reset_changes': 0}",1,1,False,NONE,NO_ELIGIBLE_ACQUISITION_WINDOW,False,False,False
