BOARD,PROFILE,CYCLE,ATTEMPTS,ACCEPTED,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,OWNER_UNVERIFIED
DE5 [1-11.2],CORE,84,2,1,1789464262992,1789464263242,250,1
DE5 [1-11.2],FULL,85,8,0,1789464263742,1789464264853,1111,1
DE5 [1-11.2],CORE,86,1,1,1789464265353,1789464265540,187,1
DE5 [1-11.2],FULL,87,8,0,1789464266042,1789464267175,1133,1
DE5 [1-11.2],CORE,88,1,1,1789464267676,1789464267862,186,1
DE5 [1-11.2],FULL,89,8,0,1789464268362,1789464269472,1110,1
DE5 [1-11.2],CORE,90,1,1,1789464269972,1789464270158,186,1
DE5 [1-11.2],FULL,91,8,0,1789464270658,1789464271770,1112,1
DE5 [1-11.2],CORE,92,1,1,1789464272270,1789464272470,200,1
DE5 [1-11.2],FULL,93,8,0,1789464273184,1789464274299,1115,1
DE5 [1-11.2],CORE,94,2,1,1789464274799,1789464275044,245,1
DE5 [1-11.2],FULL,95,8,0,1789464275544,1789464276661,1117,1
DE5 [1-11.2],CORE,96,1,1,1789464277161,1789464277349,188,1
DE5 [1-11.2],FULL,97,8,0,1789464277849,1789464278959,1110,1
DE5 [1-11.2],CORE,98,1,1,1789464279460,1789464279646,186,1
DE5 [1-11.2],FULL,99,8,0,1789464280146,1789464281246,1100,1
DE5 [1-11.2],CORE,100,1,1,1789464281747,1789464281935,188,1
DE5 [1-11.2],FULL,101,8,0,1789464282435,1789464283543,1108,1
DE5 [1-11.2],CORE,102,1,1,1789464284064,1789464284250,186,1
DE5 [1-11.2],FULL,103,8,0,1789464284750,1789464285871,1121,1
