Info: *******************************************************************
Info: Running Quartus Prime SignalTap II
    Info: Version 17.0.0 Build 595 04/25/2017 SJ Standard Edition
    Info: Copyright (C) 2017  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and its AMPP partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel MegaCore Function License Agreement, or other 
    Info: applicable license agreement, including, without limitation, 
    Info: that your use is for the sole purpose of programming logic 
    Info: devices manufactured by Intel and sold by Intel or its 
    Info: authorized distributors.  Please refer to the applicable 
    Info: agreement for further details.
    Info: Processing started: Thu Sep 24 10:40:57 2026
Info: Command: quartus_stp -t scripts/jtag/read_step1_phy_link.tcl 360 100
Info: Quartus(args): 360 100
STEP1_CAPTURE_CONFIG samples=360 gap_ms=100 probe_instance=0 read_only=1
STEP1_SAMPLE board="DE5 [1-11.1]" n=0043 elapsed_ms=4295 read_ok=1 raw=101E666137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0044 elapsed_ms=4397 read_ok=1 raw=101E666337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0045 elapsed_ms=4499 read_ok=1 raw=101E666137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0046 elapsed_ms=4601 read_ok=1 raw=101E666137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0047 elapsed_ms=4703 read_ok=1 raw=101E66E127F082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0048 elapsed_ms=4804 read_ok=1 raw=101E6641375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0049 elapsed_ms=4906 read_ok=1 raw=101E666337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0050 elapsed_ms=5008 read_ok=1 raw=101E6641375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0051 elapsed_ms=5110 read_ok=1 raw=101E6641373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0052 elapsed_ms=5212 read_ok=1 raw=101E66E127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0053 elapsed_ms=5316 read_ok=1 raw=101E6641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0054 elapsed_ms=5418 read_ok=1 raw=101EE26127B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0055 elapsed_ms=5520 read_ok=1 raw=101EE241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0056 elapsed_ms=5622 read_ok=1 raw=101EE26327D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0057 elapsed_ms=5724 read_ok=1 raw=101EE2E137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0058 elapsed_ms=5827 read_ok=1 raw=101EE243275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0059 elapsed_ms=5929 read_ok=1 raw=101EE241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0060 elapsed_ms=6031 read_ok=1 raw=101EE26327D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0061 elapsed_ms=6133 read_ok=1 raw=101EE241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0062 elapsed_ms=6235 read_ok=1 raw=101EE2C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0063 elapsed_ms=6339 read_ok=1 raw=101EE2C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0064 elapsed_ms=6441 read_ok=1 raw=101EE2C3275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0065 elapsed_ms=6543 read_ok=1 raw=101EE2E127B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0066 elapsed_ms=6645 read_ok=1 raw=101E5EC1373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0067 elapsed_ms=6748 read_ok=1 raw=101E5E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0068 elapsed_ms=6850 read_ok=1 raw=101E5EC1375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0069 elapsed_ms=6952 read_ok=1 raw=101E5EE127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0070 elapsed_ms=7054 read_ok=1 raw=101E5EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0071 elapsed_ms=7156 read_ok=1 raw=101E5E6337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0072 elapsed_ms=7258 read_ok=1 raw=101E5E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0073 elapsed_ms=7361 read_ok=1 raw=101E5EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0074 elapsed_ms=7463 read_ok=1 raw=101E5EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0075 elapsed_ms=7565 read_ok=1 raw=101E5EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0076 elapsed_ms=7667 read_ok=1 raw=101E5E6337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0077 elapsed_ms=7769 read_ok=1 raw=101E5E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0078 elapsed_ms=7871 read_ok=1 raw=101EDAE337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0079 elapsed_ms=7974 read_ok=1 raw=101EDA6127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0080 elapsed_ms=8075 read_ok=1 raw=101EDAE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0081 elapsed_ms=8177 read_ok=1 raw=101EDA4127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0082 elapsed_ms=8280 read_ok=1 raw=101EDA41275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0083 elapsed_ms=8382 read_ok=1 raw=101EDA6327B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0084 elapsed_ms=8484 read_ok=1 raw=101EDA6127B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0085 elapsed_ms=8586 read_ok=1 raw=101EDA41373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0086 elapsed_ms=8689 read_ok=1 raw=101EDA41375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0087 elapsed_ms=8791 read_ok=1 raw=101EDAE127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0088 elapsed_ms=8893 read_ok=1 raw=101EDAC127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0089 elapsed_ms=8995 read_ok=1 raw=101EDA6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0090 elapsed_ms=9097 read_ok=1 raw=101EDAE327D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0091 elapsed_ms=9200 read_ok=1 raw=101E56C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0092 elapsed_ms=9303 read_ok=1 raw=101E566337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0093 elapsed_ms=9405 read_ok=1 raw=101E56E127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0094 elapsed_ms=9507 read_ok=1 raw=101E56C3275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0095 elapsed_ms=9609 read_ok=1 raw=101E5641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0096 elapsed_ms=9711 read_ok=1 raw=101E5641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0097 elapsed_ms=9813 read_ok=1 raw=101E56E337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0098 elapsed_ms=9915 read_ok=1 raw=101E5641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0099 elapsed_ms=10017 read_ok=1 raw=101E56E337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0100 elapsed_ms=10120 read_ok=1 raw=101E5641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0101 elapsed_ms=10222 read_ok=1 raw=101E5641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0102 elapsed_ms=10325 read_ok=1 raw=101E5641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0103 elapsed_ms=10427 read_ok=1 raw=101ED2C1373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0104 elapsed_ms=10530 read_ok=1 raw=101ED2C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0105 elapsed_ms=10632 read_ok=1 raw=101ED241373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0106 elapsed_ms=10734 read_ok=1 raw=101ED2E127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0107 elapsed_ms=10836 read_ok=1 raw=101ED26137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0108 elapsed_ms=10938 read_ok=1 raw=101ED243373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0109 elapsed_ms=11040 read_ok=1 raw=101ED2C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0110 elapsed_ms=11142 read_ok=1 raw=101ED243373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0111 elapsed_ms=11244 read_ok=1 raw=101ED2C1375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0112 elapsed_ms=11348 read_ok=1 raw=101ED2C3373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0113 elapsed_ms=11450 read_ok=1 raw=101ED241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0114 elapsed_ms=11551 read_ok=1 raw=101ED26127B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0115 elapsed_ms=11653 read_ok=1 raw=101E4EE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0116 elapsed_ms=11755 read_ok=1 raw=101E4E41373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0117 elapsed_ms=11858 read_ok=1 raw=101E4EE327B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0118 elapsed_ms=11960 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0119 elapsed_ms=12062 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0120 elapsed_ms=12164 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0121 elapsed_ms=12267 read_ok=1 raw=101E4E43373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0122 elapsed_ms=12370 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0123 elapsed_ms=12472 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0124 elapsed_ms=12574 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0125 elapsed_ms=12676 read_ok=1 raw=101E4E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0126 elapsed_ms=12778 read_ok=1 raw=101E4EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0127 elapsed_ms=12880 read_ok=1 raw=101ECA6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0128 elapsed_ms=12983 read_ok=1 raw=101ECA6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0129 elapsed_ms=13085 read_ok=1 raw=101ECAC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0130 elapsed_ms=13187 read_ok=1 raw=101ECAC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0131 elapsed_ms=13290 read_ok=1 raw=101ECAC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0132 elapsed_ms=13392 read_ok=1 raw=101ECA6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0133 elapsed_ms=13494 read_ok=1 raw=101ECAC1375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0134 elapsed_ms=13596 read_ok=1 raw=101ECAE327D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0135 elapsed_ms=13698 read_ok=1 raw=101ECA6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0136 elapsed_ms=13800 read_ok=1 raw=101ECAE327D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0137 elapsed_ms=13902 read_ok=1 raw=101ECAC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0138 elapsed_ms=14004 read_ok=1 raw=101ECAC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0139 elapsed_ms=14107 read_ok=1 raw=101E1FE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0140 elapsed_ms=14209 read_ok=1 raw=101E4641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0141 elapsed_ms=14312 read_ok=1 raw=101E4641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0142 elapsed_ms=14414 read_ok=1 raw=101E46E137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0143 elapsed_ms=14516 read_ok=1 raw=101E4643275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0144 elapsed_ms=14618 read_ok=1 raw=101E4641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0145 elapsed_ms=14721 read_ok=1 raw=101E46E1373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0146 elapsed_ms=14823 read_ok=1 raw=101E4643275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0147 elapsed_ms=14924 read_ok=1 raw=101E46E137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0148 elapsed_ms=15026 read_ok=1 raw=101E4641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0149 elapsed_ms=15128 read_ok=1 raw=101E4641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0150 elapsed_ms=15230 read_ok=1 raw=101E46C1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0151 elapsed_ms=15334 read_ok=1 raw=101E4641275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0152 elapsed_ms=15436 read_ok=1 raw=101EC241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0153 elapsed_ms=15539 read_ok=1 raw=101EC241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0154 elapsed_ms=15641 read_ok=1 raw=101EC2E137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0155 elapsed_ms=15743 read_ok=1 raw=101EC2E137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0156 elapsed_ms=15846 read_ok=1 raw=101EC2C1371C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0157 elapsed_ms=15947 read_ok=1 raw=101EC2E337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0158 elapsed_ms=16050 read_ok=1 raw=101EC241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0159 elapsed_ms=16152 read_ok=1 raw=101EC243275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0160 elapsed_ms=16254 read_ok=1 raw=101EC241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0161 elapsed_ms=16357 read_ok=1 raw=101EC24327D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0162 elapsed_ms=16459 read_ok=1 raw=101EC241275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0163 elapsed_ms=16561 read_ok=1 raw=101EC26137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0164 elapsed_ms=16663 read_ok=1 raw=101E3EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0165 elapsed_ms=16766 read_ok=1 raw=101E3E41275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0166 elapsed_ms=16868 read_ok=1 raw=101E3EC1373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0167 elapsed_ms=16970 read_ok=1 raw=101E3EC127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0168 elapsed_ms=17072 read_ok=1 raw=101E3EE127B082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0169 elapsed_ms=17174 read_ok=1 raw=101E3EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0170 elapsed_ms=17277 read_ok=1 raw=101E3EC1275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0171 elapsed_ms=17380 read_ok=1 raw=101E3E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0172 elapsed_ms=17482 read_ok=1 raw=101E3E6337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0173 elapsed_ms=17584 read_ok=1 raw=101E3EE127D082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0174 elapsed_ms=17686 read_ok=1 raw=101E3E6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0175 elapsed_ms=17788 read_ok=1 raw=101E3EE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0176 elapsed_ms=17890 read_ok=1 raw=101EBA6137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0177 elapsed_ms=17992 read_ok=1 raw=101EBA6337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0178 elapsed_ms=18095 read_ok=1 raw=101EBA41275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0179 elapsed_ms=18197 read_ok=1 raw=101EBA43275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0180 elapsed_ms=18300 read_ok=1 raw=101EBAE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0181 elapsed_ms=18402 read_ok=1 raw=101EBAE337BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0182 elapsed_ms=18504 read_ok=1 raw=101EBA41275082FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0183 elapsed_ms=18606 read_ok=1 raw=101EBAE137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0184 elapsed_ms=18708 read_ok=1 raw=101EBA6127B082FF
