role,samples,sample_errors,frame_invalid_samples,boot_generation_first,boot_generation_last,boot_generation_changes,first_tracking_ms,tracking_samples,first_wr_failure_ms,first_wr_failure_reason,first_wr_disable_ms,first_wr_disable_cause,first_inactive_boundary,slock_poll_detail,slock_poll_return,slock_check_lock,slock_calib_attempt,slock_calib_success,slock_calib_failure,slock_t24p_calibrated,l2_main_start_final,l2_helper_start_final,l2_main_completed_final,l2_helper_completed_final,l2_main_failed_final,l2_helper_failed_final,l2_ack_events,l2_timeout_events,l2_first_loss_valid
MASTER,85,0,7,1,1,0,,0,57834,WR_M_LOCK_TIMEOUT,57834,HANDSHAKE_FAILURE,WR_EXTENSION_FAILURE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1929,0,1929,0,0,0,0,0
SLAVE,85,0,3,1,1,0,136886,34,142864,WR_LOCKED_TIMEOUT,142864,HANDSHAKE_FAILURE,WR_EXTENSION_FAILURE,00000B01,1,1,1,0,1,0,26648,10303,26648,10303,0,0,0,0,0
