ROLE,BOARD,SAMPLE,ELAPSED_MS,HOST_START_MS,HOST_END_MS,DURATION_MS,VALID,TRANSPORT_ERROR,PARSE_ERROR,STATUS_RAW,PSTAT_RAW,WR_STATE_RAW,SPLL_STATE_RAW,WR_FAILURE_RAW,LOCK_RESULT_RAW,PTP_META_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,MAIN_EPOCH_RAW,MAIN_UPDATE_RAW,MAIN_DETECTOR_RAW,MAIN_STATE_RAW,POSITION_RAW,ACCOUNTING_RAW,L2_STATUS_RAW,L2_PENDING_RAW,L2_COMPLETED_RAW,RESET_FIELDS_VALID,RESET_CHANGED,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,WR_FAILURE_REASON,WR_DISABLE_VALID,TERMINAL,STOP_REASON,READ_ERROR
SLAVE,DE5 [1-11.2],20,89862,1789464255353,1789464255604,251,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,248,00069DA5,06402F05,3,16E81A4ED985D96C,75340D3C75343136,9ECE9CBE4D1E000D,00000D3C00015804,00003E72000136C2,1,0,1,1,0,0,0,0,0,NONE,00003E72000136C2
MASTER,DE5 [1-11.1],25,90113,1789464255604,1789464255832,228,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000F6E,0,0,0,TIMEOUT,TIMEOUT,8C8A0022E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
MASTER,DE5 [1-11.1],26,93342,1789464258833,1789464259058,225,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000FAE,0,0,0,TIMEOUT,TIMEOUT,9626AD49E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],21,94673,1789464260164,1789464260418,254,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,0000024C,0006D619,08F02101,3,17F91B63DA85DA9C,84160D3C8416335C,AD280C32059E000D,00000D3C0001663C,000040980001437F,1,0,1,1,0,0,0,0,0,NONE,000040980001437F
MASTER,DE5 [1-11.1],27,97001,1789464262492,1789464262719,227,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,00000FF8,0,0,0,TIMEOUT,TIMEOUT,A10FCED8E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],22,99362,1789464264853,1789464265108,255,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,252,00072ACB,07902C05,3,18CA1C33DA45DA47,92DE0D3C92DE34FD,BB21939CB7DA000C,00000D3C00017460,00004239000150A6,1,0,1,1,0,0,0,0,0,NONE,00004239000150A6
MASTER,DE5 [1-11.1],28,100229,1789464265720,1789464265954,234,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,1038,0,0,0,TIMEOUT,TIMEOUT,AAB42131E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],23,103981,1789464269472,1789464269724,252,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,256,0007633F,6403105,3,19D71D3DD985D99A,A12C0D3CA12C3714,C8E3E2E74B1E000D,00000D3C000181FA,0000445000015CDD,1,0,1,1,0,0,0,0,0,NONE,0000445000015CDD
MASTER,DE5 [1-11.1],29,104234,1789464269725,1789464269954,229,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,1088,0,0,0,TIMEOUT,TIMEOUT,B6A042DBE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
MASTER,DE5 [1-11.1],30,107464,1789464272955,1789464273184,229,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,000010CA,0,0,0,TIMEOUT,TIMEOUT,C0401AEEE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],24,108808,1789464274299,1789464274556,257,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,0000025C,0007B7EE,6403105,3,1AD81E3FD9C5D9A8,B0680D3CB0683918,D74A17751A1C0005,00000D3C00019064,0000465400016A14,1,0,1,1,0,0,0,0,0,NONE,0000465400016A14
MASTER,DE5 [1-11.1],31,111170,1789464276661,1789464276895,234,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,1114,0,0,0,TIMEOUT,TIMEOUT,CB4F3523E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],25,113468,1789464278959,1789464279210,251,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,260,0007F069,6401101,3,1BE31F4DDA85DA98,BEDD0D3CBEDD3B30,E528FE77B75E000D,00000D3C00019E18,0000486C00017672,1,0,1,1,0,0,0,0,0,NONE,0000486C00017672
MASTER,DE5 [1-11.1],32,114404,1789464279895,1789464280132,237,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,1154,0,0,0,TIMEOUT,TIMEOUT,D4F50048E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],26,118052,1789464283543,1789464283816,273,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,266,84516,6403205,3,1CB12021DC05DBEB,CD260D3CCD263CD2,F2E29F8849DA000C,00000D3C0001ABE8,00004A0E00018319,1,0,1,1,0,0,0,0,0,NONE,00004A0E00018319
MASTER,DE5 [1-11.1],33,118325,1789464283816,1789464284064,248,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,000011A2,0,0,0,TIMEOUT,TIMEOUT,E0ACD295E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
