ROLE,BOARD,CYCLE,PROFILE,PROFILE_ATTEMPTS,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,ELAPSED_MS,ACCEPTED,FRESH,STALE,AMBIGUOUS,PRODUCER_STATUS,UPDATE_COUNT,EPOCH_BEFORE,EPOCH_AFTER,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,ARITHMETIC_MISMATCH,RANGE_MISMATCH,REASON,STOP_REASON
SLAVE,DE5 [1-11.2],27,FULL,8,1789464195721,1789464196839,1118,31348,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,228317,455862,456634,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],28,CORE,1,1789464197339,1789464197527,188,32036,1,1,0,0,FRESH,230980,461960,461960,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],29,FULL,8,1789464198027,1789464199128,1101,33637,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,237083,473414,474166,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],30,CORE,3,1789464199628,1789464199928,300,34437,1,1,0,0,FRESH,240135,480270,480270,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],31,FULL,8,1789464200428,1789464201548,1120,36057,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,246240,491726,492480,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],32,CORE,1,1789464202050,1789464202241,191,36750,1,1,0,0,FRESH,248916,497832,497832,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],33,FULL,8,1789464202830,1789464203941,1111,38450,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,255393,510036,510786,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],34,CORE,1,1789464204441,1789464204645,204,39154,1,1,0,0,FRESH,258066,516132,516132,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],35,FULL,8,1789464205145,1789464206262,1117,40771,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,264173,527572,528346,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],36,CORE,1,1789464206762,1789464206951,189,41460,1,1,0,0,FRESH,266840,533680,533680,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],37,FULL,8,1789464207451,1789464208560,1109,43069,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,272942,545116,545884,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],38,CORE,1,1789464209060,1789464209248,188,43757,1,1,0,0,FRESH,275616,551232,551232,0,0,0,0,0,0,NONE,NONE
