role,sample_count,entry_seen,entry_sample,entry_elapsed_ms,acquisition_allowed_samples,main_core_valid_samples,valid_acquisition_samples,phase_observation_samples,fresh_main_producer_samples,main_progress_samples,phase_domain_samples,phase_inband_samples,phase_locked_samples,phase_pi_min,phase_pi_max,service_window_count,residual_window_count,main_service_stalled_window_count,helper_service_stalled_window_count,reset_changes,transport_invalid_samples,transport_invalid_max_streak,phase_convergence_observed,stop_reason,diagnostic_result,diagnostic_pass,step5_complete,step5_pass
SLAVE,41,True,1,0,41,38,38,26,37,37,26,5,0,-8181,7812,0,0,0,0,"{'generation_changes': 0, 'reset_changes': 0}",3,1,False,NONE,PHASE_CONVERGENCE_NOT_REACHED,True,False,False
MASTER,21,False,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"{'generation_changes': 0, 'reset_changes': 0}",0,0,False,NONE,NO_ELIGIBLE_ACQUISITION_WINDOW,False,False,False
