role,samples,sample_errors,frame_invalid_samples,boot_generation_first,boot_generation_last,boot_generation_changes,first_tracking_ms,tracking_samples,first_wr_failure_ms,first_wr_failure_reason,first_wr_disable_ms,first_wr_disable_cause,first_inactive_boundary,l2_first_loss_valid,l2_telemetry,l2_main_completed_final,l2_helper_completed_final,l2_max_main_wait_raw,l2_max_helper_wait_raw,l2_max_latency_raw,l2_activity
MASTER,86,0,7,1,1,0,,0,22350,WR_M_LOCK_TIMEOUT,22350,HANDSHAKE_FAILURE,WR_EXTENSION_FAILURE,,UNAVAILABLE_BY_IMAGE_SCHEMA,,,,,,UNAVAILABLE_BY_IMAGE_SCHEMA
SLAVE,86,0,5,1,1,0,93066,5,96000,WR_LOCKED_TIMEOUT,96000,HANDSHAKE_FAILURE,WR_EXTENSION_FAILURE,0,VALID_ACTIVITY_NO_FIRST_LOSS,42328,12669,86692037,512,60930,OBSERVED_ACTIVITY_CONTRACT_INCOMPLETE
